cascade_id,mean_edge_importance,mean_node_importance,max_edge_importance
500286984162525184,0.3591340184211731,0.6547073721885681,0.8460460901260376
500286984162525184,0.7948434352874756,0.7125552296638489,0.9108148217201233
500347114975944705,0.1776135265827179,0.6055586934089661,0.9427961707115173
500293392060780546,0.248030424118042,0.25430721044540405,0.941992998123169
544445364322197504,0.08718167245388031,0.16013099253177643,0.090068019926548
500347114975944705,0.42768603563308716,0.5750423073768616,0.9363793730735779
500335355904540674,0.23926587402820587,0.49716272950172424,0.9395837187767029
552985855854661633,0.5395498871803284,0.21119605004787445,0.9387179613113403
553542565593878528,0.13474956154823303,0.1513451188802719,0.9405669569969177
553542565593878528,0.13555201888084412,0.15149907767772675,0.9403609037399292
499695918547861504,0.11022128909826279,0.1425170749425888,0.12072426825761795
499695918547861504,0.10925812274217606,0.1432955414056778,0.12353791296482086
499695918547861504,0.10101572424173355,0.1421106904745102,0.10956652462482452
498433651835940865,0.0987408384680748,0.22949311137199402,0.10765198618173599
544399562866053120,0.09596505016088486,0.36644235253334045,0.1038413941860199
552848590373392384,0.09300419688224792,0.22708511352539062,0.0985955223441124
552848590373392384,0.19996969401836395,0.2201884537935257,0.9450265169143677
553210306877739008,0.09535254538059235,0.23092873394489288,0.10081320255994797
499695918547861504,0.0939936563372612,0.14218713343143463,0.0992811769247055
544521433473634304,0.09454411268234253,0.34742072224617004,0.10297408699989319
